lsoa21cd,dependent_children,tenure,value_21,value_11,change,perc_change
E01001075,Household with dependent children,Owned: Owns outright,10,15,-5,-33.33
E01001075,No dependent children in household,Owned: Owns outright,128,145,-17,-11.72
E01001075,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,154,148,6,4.05
E01001075,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,156,163,-7,-4.29
E01001075,Household with dependent children,Private rented or lives rent free,62,42,20,47.62
E01001075,No dependent children in household,Private rented or lives rent free,76,78,-2,-2.56
E01001075,Household with dependent children,Rented: Social rented,10,16,-6,-37.5
E01001075,No dependent children in household,Rented: Social rented,44,39,5,12.82
E01001076,Household with dependent children,Owned: Owns outright,12,12,0,0
E01001076,No dependent children in household,Owned: Owns outright,101,100,1,1
E01001076,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,84,97,-13,-13.4
E01001076,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,78,89,-11,-12.36
E01001076,Household with dependent children,Private rented or lives rent free,67,58,9,15.52
E01001076,No dependent children in household,Private rented or lives rent free,37,35,2,5.71
E01001076,Household with dependent children,Rented: Social rented,100,100,0,0
E01001076,No dependent children in household,Rented: Social rented,92,90,2,2.22
E01001077,Household with dependent children,Owned: Owns outright,8,6,2,33.33
E01001077,No dependent children in household,Owned: Owns outright,173,175,-2,-1.14
E01001077,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,98,109,-11,-10.09
E01001077,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,120,140,-20,-14.29
E01001077,Household with dependent children,Private rented or lives rent free,40,25,15,60
E01001077,No dependent children in household,Private rented or lives rent free,23,14,9,64.29
E01001077,Household with dependent children,Rented: Social rented,23,32,-9,-28.12
E01001077,No dependent children in household,Rented: Social rented,31,22,9,40.91
E01001078,Household with dependent children,Owned: Owns outright,7,7,0,0
E01001078,No dependent children in household,Owned: Owns outright,112,101,11,10.89
E01001078,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,52,53,-1,-1.89
E01001078,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,77,93,-16,-17.2
E01001078,Household with dependent children,Private rented or lives rent free,25,23,2,8.7
E01001078,No dependent children in household,Private rented or lives rent free,16,12,4,33.33
E01001078,Household with dependent children,Rented: Social rented,111,138,-27,-19.57
E01001078,No dependent children in household,Rented: Social rented,114,86,28,32.56
E01001079,Household with dependent children,Owned: Owns outright,8,9,-1,-11.11
E01001079,No dependent children in household,Owned: Owns outright,114,103,11,10.68
E01001079,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,74,81,-7,-8.64
E01001079,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,83,98,-15,-15.31
E01001079,Household with dependent children,Private rented or lives rent free,31,46,-15,-32.61
E01001079,No dependent children in household,Private rented or lives rent free,26,17,9,52.94
E01001079,Household with dependent children,Rented: Social rented,111,144,-33,-22.92
E01001079,No dependent children in household,Rented: Social rented,142,141,1,0.71
E01001080,Household with dependent children,Owned: Owns outright,3,5,-2,-40
E01001080,No dependent children in household,Owned: Owns outright,45,47,-2,-4.26
E01001080,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,33,32,1,3.12
E01001080,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,37,44,-7,-15.91
E01001080,Household with dependent children,Private rented or lives rent free,23,22,1,4.55
E01001080,No dependent children in household,Private rented or lives rent free,19,21,-2,-9.52
E01001080,Household with dependent children,Rented: Social rented,139,206,-67,-32.52
E01001080,No dependent children in household,Rented: Social rented,284,310,-26,-8.39
E01001081,Household with dependent children,Owned: Owns outright,7,3,4,133.33
E01001081,No dependent children in household,Owned: Owns outright,115,105,10,9.52
E01001081,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,83,78,5,6.41
E01001081,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,62,94,-32,-34.04
E01001081,Household with dependent children,Private rented or lives rent free,42,29,13,44.83
E01001081,No dependent children in household,Private rented or lives rent free,12,7,5,71.43
E01001081,Household with dependent children,Rented: Social rented,82,93,-11,-11.83
E01001081,No dependent children in household,Rented: Social rented,95,97,-2,-2.06
E01001082,Household with dependent children,Owned: Owns outright,10,9,1,11.11
E01001082,No dependent children in household,Owned: Owns outright,116,102,14,13.73
E01001082,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,77,92,-15,-16.3
E01001082,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,66,93,-27,-29.03
E01001082,Household with dependent children,Private rented or lives rent free,28,21,7,33.33
E01001082,No dependent children in household,Private rented or lives rent free,23,11,12,109.09
E01001082,Household with dependent children,Rented: Social rented,96,142,-46,-32.39
E01001082,No dependent children in household,Rented: Social rented,102,90,12,13.33
E01001083,Household with dependent children,Owned: Owns outright,26,21,5,23.81
E01001083,No dependent children in household,Owned: Owns outright,236,216,20,9.26
E01001083,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,104,119,-15,-12.61
E01001083,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,85,110,-25,-22.73
E01001083,Household with dependent children,Private rented or lives rent free,35,44,-9,-20.45
E01001083,No dependent children in household,Private rented or lives rent free,44,16,28,175
E01001083,Household with dependent children,Rented: Social rented,5,6,-1,-16.67
E01001083,No dependent children in household,Rented: Social rented,4,4,0,0
E01001084,Household with dependent children,Owned: Owns outright,21,37,-16,-43.24
E01001084,No dependent children in household,Owned: Owns outright,252,241,11,4.56
E01001084,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,124,110,14,12.73
E01001084,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,105,139,-34,-24.46
E01001084,Household with dependent children,Private rented or lives rent free,63,41,22,53.66
E01001084,No dependent children in household,Private rented or lives rent free,80,73,7,9.59
E01001084,Household with dependent children,Rented: Social rented,14,23,-9,-39.13
E01001084,No dependent children in household,Rented: Social rented,10,1,9,900
E01001085,Household with dependent children,Owned: Owns outright,16,12,4,33.33
E01001085,No dependent children in household,Owned: Owns outright,157,162,-5,-3.09
E01001085,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,75,79,-4,-5.06
E01001085,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,96,101,-5,-4.95
E01001085,Household with dependent children,Private rented or lives rent free,89,76,13,17.11
E01001085,No dependent children in household,Private rented or lives rent free,135,91,44,48.35
E01001085,Household with dependent children,Rented: Social rented,25,26,-1,-3.85
E01001085,No dependent children in household,Rented: Social rented,56,65,-9,-13.85
E01001086,Household with dependent children,Owned: Owns outright,32,18,14,77.78
E01001086,No dependent children in household,Owned: Owns outright,203,174,29,16.67
E01001086,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,92,123,-31,-25.2
E01001086,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,157,-25,-15.92
E01001086,Household with dependent children,Private rented or lives rent free,50,58,-8,-13.79
E01001086,No dependent children in household,Private rented or lives rent free,61,45,16,35.56
E01001086,Household with dependent children,Rented: Social rented,11,15,-4,-26.67
E01001086,No dependent children in household,Rented: Social rented,9,13,-4,-30.77
E01001087,Household with dependent children,Owned: Owns outright,20,21,-1,-4.76
E01001087,No dependent children in household,Owned: Owns outright,173,127,46,36.22
E01001087,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,80,96,-16,-16.67
E01001087,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,164,131,33,25.19
E01001087,Household with dependent children,Private rented or lives rent free,165,112,53,47.32
E01001087,No dependent children in household,Private rented or lives rent free,261,217,44,20.28
E01001087,Household with dependent children,Rented: Social rented,136,28,108,385.71
E01001087,No dependent children in household,Rented: Social rented,131,116,15,12.93
E01001088,Household with dependent children,Owned: Owns outright,13,14,-1,-7.14
E01001088,No dependent children in household,Owned: Owns outright,134,130,4,3.08
E01001088,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,97,117,-20,-17.09
E01001088,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,129,3,2.33
E01001088,Household with dependent children,Private rented or lives rent free,52,59,-7,-11.86
E01001088,No dependent children in household,Private rented or lives rent free,55,34,21,61.76
E01001088,Household with dependent children,Rented: Social rented,47,66,-19,-28.79
E01001088,No dependent children in household,Rented: Social rented,41,43,-2,-4.65
E01001089,Household with dependent children,Owned: Owns outright,20,12,8,66.67
E01001089,No dependent children in household,Owned: Owns outright,103,107,-4,-3.74
E01001089,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,58,82,-24,-29.27
E01001089,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,95,108,-13,-12.04
E01001089,Household with dependent children,Private rented or lives rent free,93,100,-7,-7
E01001089,No dependent children in household,Private rented or lives rent free,130,118,12,10.17
E01001089,Household with dependent children,Rented: Social rented,61,86,-25,-29.07
E01001089,No dependent children in household,Rented: Social rented,86,102,-16,-15.69
E01001090,Household with dependent children,Owned: Owns outright,13,17,-4,-23.53
E01001090,No dependent children in household,Owned: Owns outright,131,122,9,7.38
E01001090,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,78,89,-11,-12.36
E01001090,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,138,172,-34,-19.77
E01001090,Household with dependent children,Private rented or lives rent free,144,117,27,23.08
E01001090,No dependent children in household,Private rented or lives rent free,184,174,10,5.75
E01001090,Household with dependent children,Rented: Social rented,83,121,-38,-31.4
E01001090,No dependent children in household,Rented: Social rented,117,110,7,6.36
E01001091,Household with dependent children,Owned: Owns outright,18,17,1,5.88
E01001091,No dependent children in household,Owned: Owns outright,196,174,22,12.64
E01001091,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,76,109,-33,-30.28
E01001091,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,120,118,2,1.69
E01001091,Household with dependent children,Private rented or lives rent free,61,55,6,10.91
E01001091,No dependent children in household,Private rented or lives rent free,78,77,1,1.3
E01001091,Household with dependent children,Rented: Social rented,12,7,5,71.43
E01001091,No dependent children in household,Rented: Social rented,3,5,-2,-40
E01001092,Household with dependent children,Owned: Owns outright,28,41,-13,-31.71
E01001092,No dependent children in household,Owned: Owns outright,212,179,33,18.44
E01001092,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,115,106,9,8.49
E01001092,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,173,126,47,37.3
E01001092,Household with dependent children,Private rented or lives rent free,44,35,9,25.71
E01001092,No dependent children in household,Private rented or lives rent free,80,72,8,11.11
E01001092,Household with dependent children,Rented: Social rented,19,13,6,46.15
E01001092,No dependent children in household,Rented: Social rented,28,16,12,75
E01001093,Household with dependent children,Owned: Owns outright,14,18,-4,-22.22
E01001093,No dependent children in household,Owned: Owns outright,194,185,9,4.86
E01001093,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,94,142,-48,-33.8
E01001093,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,176,184,-8,-4.35
E01001093,Household with dependent children,Private rented or lives rent free,82,55,27,49.09
E01001093,No dependent children in household,Private rented or lives rent free,75,60,15,25
E01001093,Household with dependent children,Rented: Social rented,38,35,3,8.57
E01001093,No dependent children in household,Rented: Social rented,37,15,22,146.67
E01001094,Household with dependent children,Owned: Owns outright,26,42,-16,-38.1
E01001094,No dependent children in household,Owned: Owns outright,220,205,15,7.32
E01001094,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,118,118,0,0
E01001094,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,125,102,23,22.55
E01001094,Household with dependent children,Private rented or lives rent free,22,17,5,29.41
E01001094,No dependent children in household,Private rented or lives rent free,38,33,5,15.15
E01001094,Household with dependent children,Rented: Social rented,11,2,9,450
E01001094,No dependent children in household,Rented: Social rented,7,2,5,250
E01001095,Household with dependent children,Owned: Owns outright,10,11,-1,-9.09
E01001095,No dependent children in household,Owned: Owns outright,125,93,32,34.41
E01001095,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,94,118,-24,-20.34
E01001095,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,128,157,-29,-18.47
E01001095,Household with dependent children,Private rented or lives rent free,88,62,26,41.94
E01001095,No dependent children in household,Private rented or lives rent free,90,109,-19,-17.43
E01001095,Household with dependent children,Rented: Social rented,35,20,15,75
E01001095,No dependent children in household,Rented: Social rented,25,14,11,78.57
E01001096,Household with dependent children,Owned: Owns outright,17,24,-7,-29.17
E01001096,No dependent children in household,Owned: Owns outright,219,209,10,4.78
E01001096,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,141,141,0,0
E01001096,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,107,90,17,18.89
E01001096,Household with dependent children,Private rented or lives rent free,16,24,-8,-33.33
E01001096,No dependent children in household,Private rented or lives rent free,22,24,-2,-8.33
E01001096,Household with dependent children,Rented: Social rented,3,8,-5,-62.5
E01001096,No dependent children in household,Rented: Social rented,9,10,-1,-10
E01001097,Household with dependent children,Owned: Owns outright,16,8,8,100
E01001097,No dependent children in household,Owned: Owns outright,217,220,-3,-1.36
E01001097,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,87,93,-6,-6.45
E01001097,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,210,239,-29,-12.13
E01001097,Household with dependent children,Private rented or lives rent free,136,100,36,36
E01001097,No dependent children in household,Private rented or lives rent free,285,273,12,4.4
E01001097,Household with dependent children,Rented: Social rented,61,32,29,90.62
E01001097,No dependent children in household,Rented: Social rented,163,94,69,73.4
E01001098,Household with dependent children,Owned: Owns outright,28,22,6,27.27
E01001098,No dependent children in household,Owned: Owns outright,205,195,10,5.13
E01001098,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,141,138,3,2.17
E01001098,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,113,120,-7,-5.83
E01001098,Household with dependent children,Private rented or lives rent free,20,20,0,0
E01001098,No dependent children in household,Private rented or lives rent free,18,14,4,28.57
E01001098,Household with dependent children,Rented: Social rented,4,2,2,100
E01001098,No dependent children in household,Rented: Social rented,9,4,5,125
E01001099,Household with dependent children,Owned: Owns outright,14,16,-2,-12.5
E01001099,No dependent children in household,Owned: Owns outright,116,110,6,5.45
E01001099,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,122,111,11,9.91
E01001099,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,128,139,-11,-7.91
E01001099,Household with dependent children,Private rented or lives rent free,41,38,3,7.89
E01001099,No dependent children in household,Private rented or lives rent free,34,43,-9,-20.93
E01001099,Household with dependent children,Rented: Social rented,55,59,-4,-6.78
E01001099,No dependent children in household,Rented: Social rented,89,70,19,27.14
E01001100,Household with dependent children,Owned: Owns outright,11,15,-4,-26.67
E01001100,No dependent children in household,Owned: Owns outright,174,175,-1,-0.57
E01001100,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,116,127,-11,-8.66
E01001100,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,129,146,-17,-11.64
E01001100,Household with dependent children,Private rented or lives rent free,57,39,18,46.15
E01001100,No dependent children in household,Private rented or lives rent free,80,81,-1,-1.23
E01001100,Household with dependent children,Rented: Social rented,7,5,2,40
E01001100,No dependent children in household,Rented: Social rented,27,31,-4,-12.9
E01001101,Household with dependent children,Owned: Owns outright,24,31,-7,-22.58
E01001101,No dependent children in household,Owned: Owns outright,210,209,1,0.48
E01001101,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,150,147,3,2.04
E01001101,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,96,96,0,0
E01001101,Household with dependent children,Private rented or lives rent free,8,12,-4,-33.33
E01001101,No dependent children in household,Private rented or lives rent free,14,9,5,55.56
E01001101,Household with dependent children,Rented: Social rented,1,3,-2,-66.67
E01001101,No dependent children in household,Rented: Social rented,2,2,0,0
E01001102,Household with dependent children,Owned: Owns outright,26,17,9,52.94
E01001102,No dependent children in household,Owned: Owns outright,310,279,31,11.11
E01001102,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,105,117,-12,-10.26
E01001102,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,70,89,-19,-21.35
E01001102,Household with dependent children,Private rented or lives rent free,36,20,16,80
E01001102,No dependent children in household,Private rented or lives rent free,44,40,4,10
E01001102,Household with dependent children,Rented: Social rented,6,2,4,200
E01001102,No dependent children in household,Rented: Social rented,34,41,-7,-17.07
E01001103,Household with dependent children,Owned: Owns outright,24,21,3,14.29
E01001103,No dependent children in household,Owned: Owns outright,314,303,11,3.63
E01001103,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,136,155,-19,-12.26
E01001103,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,104,104,0,0
E01001103,Household with dependent children,Private rented or lives rent free,18,28,-10,-35.71
E01001103,No dependent children in household,Private rented or lives rent free,17,8,9,112.5
E01001103,Household with dependent children,Rented: Social rented,13,14,-1,-7.14
E01001103,No dependent children in household,Rented: Social rented,19,18,1,5.56
E01001104,Household with dependent children,Owned: Owns outright,19,21,-2,-9.52
E01001104,No dependent children in household,Owned: Owns outright,242,222,20,9.01
E01001104,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,156,182,-26,-14.29
E01001104,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,139,150,-11,-7.33
E01001104,Household with dependent children,Private rented or lives rent free,27,18,9,50
E01001104,No dependent children in household,Private rented or lives rent free,35,24,11,45.83
E01001104,Household with dependent children,Rented: Social rented,8,13,-5,-38.46
E01001104,No dependent children in household,Rented: Social rented,16,12,4,33.33
E01001105,Household with dependent children,Owned: Owns outright,15,21,-6,-28.57
E01001105,No dependent children in household,Owned: Owns outright,173,162,11,6.79
E01001105,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,146,152,-6,-3.95
E01001105,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,107,123,-16,-13.01
E01001105,Household with dependent children,Private rented or lives rent free,31,23,8,34.78
E01001105,No dependent children in household,Private rented or lives rent free,12,12,0,0
E01001105,Household with dependent children,Rented: Social rented,52,50,2,4
E01001105,No dependent children in household,Rented: Social rented,95,89,6,6.74
E01001106,Household with dependent children,Owned: Owns outright,14,11,3,27.27
E01001106,No dependent children in household,Owned: Owns outright,199,169,30,17.75
E01001106,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,116,124,-8,-6.45
E01001106,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,121,124,-3,-2.42
E01001106,Household with dependent children,Private rented or lives rent free,29,37,-8,-21.62
E01001106,No dependent children in household,Private rented or lives rent free,24,19,5,26.32
E01001106,Household with dependent children,Rented: Social rented,30,32,-2,-6.25
E01001106,No dependent children in household,Rented: Social rented,24,24,0,0
E01001107,Household with dependent children,Owned: Owns outright,22,29,-7,-24.14
E01001107,No dependent children in household,Owned: Owns outright,285,265,20,7.55
E01001107,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,118,107,11,10.28
E01001107,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,116,135,-19,-14.07
E01001107,Household with dependent children,Private rented or lives rent free,39,32,7,21.88
E01001107,No dependent children in household,Private rented or lives rent free,69,79,-10,-12.66
E01001107,Household with dependent children,Rented: Social rented,6,10,-4,-40
E01001107,No dependent children in household,Rented: Social rented,8,5,3,60
E01001108,Household with dependent children,Owned: Owns outright,24,44,-20,-45.45
E01001108,No dependent children in household,Owned: Owns outright,292,259,33,12.74
E01001108,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,182,154,28,18.18
E01001108,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,131,-16,-12.21
E01001108,Household with dependent children,Private rented or lives rent free,15,11,4,36.36
E01001108,No dependent children in household,Private rented or lives rent free,9,18,-9,-50
E01001108,Household with dependent children,Rented: Social rented,4,7,-3,-42.86
E01001108,No dependent children in household,Rented: Social rented,2,4,-2,-50
E01001109,Household with dependent children,Owned: Owns outright,10,10,0,0
E01001109,No dependent children in household,Owned: Owns outright,94,85,9,10.59
E01001109,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,92,88,4,4.55
E01001109,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,149,147,2,1.36
E01001109,Household with dependent children,Private rented or lives rent free,125,114,11,9.65
E01001109,No dependent children in household,Private rented or lives rent free,184,130,54,41.54
E01001109,Household with dependent children,Rented: Social rented,113,110,3,2.73
E01001109,No dependent children in household,Rented: Social rented,197,161,36,22.36
E01001110,Household with dependent children,Owned: Owns outright,9,12,-3,-25
E01001110,No dependent children in household,Owned: Owns outright,80,51,29,56.86
E01001110,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,45,55,-10,-18.18
E01001110,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,124,-9,-7.26
E01001110,Household with dependent children,Private rented or lives rent free,141,123,18,14.63
E01001110,No dependent children in household,Private rented or lives rent free,238,216,22,10.19
E01001110,Household with dependent children,Rented: Social rented,125,96,29,30.21
E01001110,No dependent children in household,Rented: Social rented,138,94,44,46.81
E01001111,Household with dependent children,Owned: Owns outright,12,14,-2,-14.29
E01001111,No dependent children in household,Owned: Owns outright,121,115,6,5.22
E01001111,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,84,116,-32,-27.59
E01001111,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,139,145,-6,-4.14
E01001111,Household with dependent children,Private rented or lives rent free,112,73,39,53.42
E01001111,No dependent children in household,Private rented or lives rent free,102,75,27,36
E01001111,Household with dependent children,Rented: Social rented,26,43,-17,-39.53
E01001111,No dependent children in household,Rented: Social rented,46,29,17,58.62
E01001112,Household with dependent children,Owned: Owns outright,12,11,1,9.09
E01001112,No dependent children in household,Owned: Owns outright,81,75,6,8
E01001112,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,64,64,0,0
E01001112,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,166,147,19,12.93
E01001112,Household with dependent children,Private rented or lives rent free,120,96,24,25
E01001112,No dependent children in household,Private rented or lives rent free,160,116,44,37.93
E01001112,Household with dependent children,Rented: Social rented,99,109,-10,-9.17
E01001112,No dependent children in household,Rented: Social rented,156,145,11,7.59
E01001113,Household with dependent children,Owned: Owns outright,5,10,-5,-50
E01001113,No dependent children in household,Owned: Owns outright,98,95,3,3.16
E01001113,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,59,79,-20,-25.32
E01001113,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,167,180,-13,-7.22
E01001113,Household with dependent children,Private rented or lives rent free,163,133,30,22.56
E01001113,No dependent children in household,Private rented or lives rent free,221,178,43,24.16
E01001113,Household with dependent children,Rented: Social rented,48,61,-13,-21.31
E01001113,No dependent children in household,Rented: Social rented,94,59,35,59.32
E01001114,Household with dependent children,Owned: Owns outright,5,7,-2,-28.57
E01001114,No dependent children in household,Owned: Owns outright,58,49,9,18.37
E01001114,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,74,70,4,5.71
E01001114,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,76,72,4,5.56
E01001114,Household with dependent children,Private rented or lives rent free,73,58,15,25.86
E01001114,No dependent children in household,Private rented or lives rent free,88,88,0,0
E01001114,Household with dependent children,Rented: Social rented,106,125,-19,-15.2
E01001114,No dependent children in household,Rented: Social rented,122,116,6,5.17
E01001115,Household with dependent children,Owned: Owns outright,14,6,8,133.33
E01001115,No dependent children in household,Owned: Owns outright,71,57,14,24.56
E01001115,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,67,88,-21,-23.86
E01001115,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,99,99,0,0
E01001115,Household with dependent children,Private rented or lives rent free,86,56,30,53.57
E01001115,No dependent children in household,Private rented or lives rent free,62,73,-11,-15.07
E01001115,Household with dependent children,Rented: Social rented,97,120,-23,-19.17
E01001115,No dependent children in household,Rented: Social rented,156,158,-2,-1.27
E01001116,Household with dependent children,Owned: Owns outright,12,7,5,71.43
E01001116,No dependent children in household,Owned: Owns outright,114,77,37,48.05
E01001116,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,57,87,-30,-34.48
E01001116,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,126,133,-7,-5.26
E01001116,Household with dependent children,Private rented or lives rent free,115,81,34,41.98
E01001116,No dependent children in household,Private rented or lives rent free,107,71,36,50.7
E01001116,Household with dependent children,Rented: Social rented,40,47,-7,-14.89
E01001116,No dependent children in household,Rented: Social rented,35,25,10,40
E01001118,Household with dependent children,Owned: Owns outright,8,8,0,0
E01001118,No dependent children in household,Owned: Owns outright,89,81,8,9.88
E01001118,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,44,77,-33,-42.86
E01001118,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,124,-9,-7.26
E01001118,Household with dependent children,Private rented or lives rent free,121,85,36,42.35
E01001118,No dependent children in household,Private rented or lives rent free,170,119,51,42.86
E01001118,Household with dependent children,Rented: Social rented,131,131,0,0
E01001118,No dependent children in household,Rented: Social rented,200,170,30,17.65
E01001119,Household with dependent children,Owned: Owns outright,7,14,-7,-50
E01001119,No dependent children in household,Owned: Owns outright,276,235,41,17.45
E01001119,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,137,126,11,8.73
E01001119,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,108,151,-43,-28.48
E01001119,Household with dependent children,Private rented or lives rent free,14,15,-1,-6.67
E01001119,No dependent children in household,Private rented or lives rent free,15,11,4,36.36
E01001119,Household with dependent children,Rented: Social rented,8,14,-6,-42.86
E01001119,No dependent children in household,Rented: Social rented,14,10,4,40
E01001120,Household with dependent children,Owned: Owns outright,15,13,2,15.38
E01001120,No dependent children in household,Owned: Owns outright,197,174,23,13.22
E01001120,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,117,137,-20,-14.6
E01001120,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,109,120,-11,-9.17
E01001120,Household with dependent children,Private rented or lives rent free,31,24,7,29.17
E01001120,No dependent children in household,Private rented or lives rent free,25,9,16,177.78
E01001120,Household with dependent children,Rented: Social rented,7,0,7,
E01001120,No dependent children in household,Rented: Social rented,6,3,3,100
E01001121,Household with dependent children,Owned: Owns outright,16,8,8,100
E01001121,No dependent children in household,Owned: Owns outright,294,258,36,13.95
E01001121,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,98,88,10,11.36
E01001121,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,99,114,-15,-13.16
E01001121,Household with dependent children,Private rented or lives rent free,17,14,3,21.43
E01001121,No dependent children in household,Private rented or lives rent free,9,3,6,200
E01001121,Household with dependent children,Rented: Social rented,1,4,-3,-75
E01001121,No dependent children in household,Rented: Social rented,5,12,-7,-58.33
E01001122,Household with dependent children,Owned: Owns outright,19,28,-9,-32.14
E01001122,No dependent children in household,Owned: Owns outright,205,175,30,17.14
E01001122,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,101,109,-8,-7.34
E01001122,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,102,141,-39,-27.66
E01001122,Household with dependent children,Private rented or lives rent free,18,23,-5,-21.74
E01001122,No dependent children in household,Private rented or lives rent free,18,25,-7,-28
E01001122,Household with dependent children,Rented: Social rented,1,2,-1,-50
E01001122,No dependent children in household,Rented: Social rented,0,4,-4,-100
E01001123,Household with dependent children,Owned: Owns outright,16,22,-6,-27.27
E01001123,No dependent children in household,Owned: Owns outright,260,291,-31,-10.65
E01001123,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,147,143,4,2.8
