lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,ethnic_group_20,observation
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",227
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",41
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,56
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,42
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,91
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,78
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",3684
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,White: Irish,78
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,White: Gypsy or Irish Traveller,16
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,White: Roma,14
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,White: Other White,601
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Arab,5
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Any other ethnic group,92
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",1
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",5
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",7
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",1
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",4
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",26
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",41
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,4
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,4
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,9
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",773
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,White: Irish,19
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,White: Roma,1
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,White: Other White,37
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Arab,1
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Any other ethnic group,12
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",30
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",81
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",89
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",20
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",96
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",920
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",660
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",234
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,55
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,80
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,308
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,166
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",5514
E09000006,Bromley,Single family household: Lone parent family: With dependent children,White: Irish,90
E09000006,Bromley,Single family household: Lone parent family: With dependent children,White: Gypsy or Irish Traveller,60
E09000006,Bromley,Single family household: Lone parent family: With dependent children,White: Roma,15
E09000006,Bromley,Single family household: Lone parent family: With dependent children,White: Other White,655
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Other ethnic group: Arab,27
E09000006,Bromley,Single family household: Lone parent family: With dependent children,Other ethnic group: Any other ethnic group,197
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",17
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",59
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",110
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",19
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",82
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",309
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",348
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",70
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,22
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,20
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,57
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,43
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",4386
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,White: Irish,137
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,White: Gypsy or Irish Traveller,18
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,White: Roma,6
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,White: Other White,294
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Arab,22
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Any other ethnic group,128
E09000006,Bromley,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Bangladeshi",5
E09000006,Bromley,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Chinese",11
E09000006,Bromley,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Indian",27
E09000006,Bromley,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Pakistani",10
E09000006,Bromley,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Other Asian",26
E09000006,Bromley,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: African",98
E09000006,Bromley,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",59
E09000006,Bromley,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15
E09000006,Bromley,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Asian,7
E09000006,Bromley,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black African,7
E09000006,Bromley,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black Caribbean,17
E09000006,Bromley,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,21
E09000006,Bromley,Other household types: Other related household: Other family composition,"White: English, Welsh, Scottish, Northern Irish or British",489
E09000006,Bromley,Other household types: Other related household: Other family composition,White: Irish,19
E09000006,Bromley,Other household types: Other related household: Other family composition,White: Gypsy or Irish Traveller,1
E09000006,Bromley,Other household types: Other related household: Other family composition,White: Roma,8
E09000006,Bromley,Other household types: Other related household: Other family composition,White: Other White,125
E09000006,Bromley,Other household types: Other related household: Other family composition,Other ethnic group: Arab,4
E09000006,Bromley,Other household types: Other related household: Other family composition,Other ethnic group: Any other ethnic group,38
E09000006,Bromley,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",61
E09000006,Bromley,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",75
E09000006,Bromley,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Indian",187
E09000006,Bromley,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",40
E09000006,Bromley,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",108
E09000006,Bromley,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",305
E09000006,Bromley,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",137
E09000006,Bromley,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",40
E09000006,Bromley,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Asian,31
E09000006,Bromley,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black African,17
E09000006,Bromley,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,40
E09000006,Bromley,Other household types: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,49
E09000006,Bromley,Other household types: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",1683
E09000006,Bromley,Other household types: With dependent children,White: Irish,32
E09000006,Bromley,Other household types: With dependent children,White: Gypsy or Irish Traveller,14
E09000006,Bromley,Other household types: With dependent children,White: Roma,17
E09000006,Bromley,Other household types: With dependent children,White: Other White,565
E09000006,Bromley,Other household types: With dependent children,Other ethnic group: Arab,13
E09000006,Bromley,Other household types: With dependent children,Other ethnic group: Any other ethnic group,132
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Bangladeshi",27
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Chinese",43
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Indian",182
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Pakistani",33
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Other Asian",165
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: African",207
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Caribbean",138
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Other Black",34
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Asian,47
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black African,15
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black Caribbean,48
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,53
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","White: English, Welsh, Scottish, Northern Irish or British",2855
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Irish,100
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Gypsy or Irish Traveller,4
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Roma,23
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Other White,599
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Other ethnic group: Arab,22
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",Other ethnic group: Any other ethnic group,114
E09000007,Camden,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",56
E09000007,Camden,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",144
E09000007,Camden,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",158
E09000007,Camden,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",30
E09000007,Camden,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",285
E09000007,Camden,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",274
E09000007,Camden,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",136
E09000007,Camden,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",33
E09000007,Camden,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,44
E09000007,Camden,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,43
E09000007,Camden,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,35
E09000007,Camden,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,74
E09000007,Camden,One-person household: Aged 66 years and over,"White: English, Welsh, Scottish, Northern Irish or British",5978
E09000007,Camden,One-person household: Aged 66 years and over,White: Irish,740
E09000007,Camden,One-person household: Aged 66 years and over,White: Gypsy or Irish Traveller,4
E09000007,Camden,One-person household: Aged 66 years and over,White: Roma,10
E09000007,Camden,One-person household: Aged 66 years and over,White: Other White,1252
E09000007,Camden,One-person household: Aged 66 years and over,Other ethnic group: Arab,81
E09000007,Camden,One-person household: Aged 66 years and over,Other ethnic group: Any other ethnic group,343
E09000007,Camden,One-person household: Other,"Asian, Asian British or Asian Welsh: Bangladeshi",299
E09000007,Camden,One-person household: Other,"Asian, Asian British or Asian Welsh: Chinese",1183
E09000007,Camden,One-person household: Other,"Asian, Asian British or Asian Welsh: Indian",991
E09000007,Camden,One-person household: Other,"Asian, Asian British or Asian Welsh: Pakistani",181
E09000007,Camden,One-person household: Other,"Asian, Asian British or Asian Welsh: Other Asian",1097
E09000007,Camden,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: African",1499
E09000007,Camden,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",576
E09000007,Camden,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Other Black",242
E09000007,Camden,One-person household: Other,Mixed or Multiple ethnic groups: White and Asian,388
E09000007,Camden,One-person household: Other,Mixed or Multiple ethnic groups: White and Black African,256
E09000007,Camden,One-person household: Other,Mixed or Multiple ethnic groups: White and Black Caribbean,313
E09000007,Camden,One-person household: Other,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,584
E09000007,Camden,One-person household: Other,"White: English, Welsh, Scottish, Northern Irish or British",9951
E09000007,Camden,One-person household: Other,White: Irish,967
E09000007,Camden,One-person household: Other,White: Gypsy or Irish Traveller,13
E09000007,Camden,One-person household: Other,White: Roma,132
E09000007,Camden,One-person household: Other,White: Other White,5718
E09000007,Camden,One-person household: Other,Other ethnic group: Arab,579
E09000007,Camden,One-person household: Other,Other ethnic group: Any other ethnic group,1240
E09000007,Camden,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",23
E09000007,Camden,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",53
E09000007,Camden,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",68
E09000007,Camden,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",12
E09000007,Camden,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",63
E09000007,Camden,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",24
E09000007,Camden,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E09000007,Camden,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E09000007,Camden,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,12
E09000007,Camden,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,3
E09000007,Camden,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E09000007,Camden,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11
E09000007,Camden,Single family household: All aged 66 years and over,"White: English, Welsh, Scottish, Northern Irish or British",1940
E09000007,Camden,Single family household: All aged 66 years and over,White: Irish,134
E09000007,Camden,Single family household: All aged 66 years and over,White: Gypsy or Irish Traveller,1
E09000007,Camden,Single family household: All aged 66 years and over,White: Roma,1
E09000007,Camden,Single family household: All aged 66 years and over,White: Other White,482
E09000007,Camden,Single family household: All aged 66 years and over,Other ethnic group: Arab,23
E09000007,Camden,Single family household: All aged 66 years and over,Other ethnic group: Any other ethnic group,120
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",107
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Chinese",213
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Indian",365
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Pakistani",47
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Other Asian",305
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: African",121
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",35
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Asian,72
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black African,26
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,20
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,126
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"White: English, Welsh, Scottish, Northern Irish or British",2707
E09000007,Camden,Single family household: Married or civil partnership couple: No children,White: Irish,195
E09000007,Camden,Single family household: Married or civil partnership couple: No children,White: Gypsy or Irish Traveller,2
E09000007,Camden,Single family household: Married or civil partnership couple: No children,White: Roma,38
E09000007,Camden,Single family household: Married or civil partnership couple: No children,White: Other White,1898
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Other ethnic group: Arab,84
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Other ethnic group: Any other ethnic group,348
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",1256
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Chinese",234
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Indian",560
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Pakistani",105
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Other Asian",560
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",613
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",57
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",36
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Asian,104
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black African,55
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,31
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,149
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"White: English, Welsh, Scottish, Northern Irish or British",2926
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,White: Irish,176
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,White: Gypsy or Irish Traveller,0
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,White: Roma,33
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,White: Other White,3214
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Arab,377
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Any other ethnic group,594
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",271
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",54
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",83
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",25
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",107
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",152
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",41
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,13
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,8
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,9
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,20
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",1039
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,White: Irish,99
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,White: Gypsy or Irish Traveller,3
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,White: Roma,9
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,White: Other White,493
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Arab,64
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Any other ethnic group,199
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",10
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Chinese",234
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Indian",176
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Pakistani",14
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Other Asian",151
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: African",88
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",66
E09000007,Camden,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",18
E09000007,Camden,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Asian,139
E09000007,Camden,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black African,40
E09000007,Camden,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,42
E09000007,Camden,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,168
E09000007,Camden,Single family household: Cohabiting couple family: No children,"White: English, Welsh, Scottish, Northern Irish or British",3682
E09000007,Camden,Single family household: Cohabiting couple family: No children,White: Irish,254
E09000007,Camden,Single family household: Cohabiting couple family: No children,White: Gypsy or Irish Traveller,2
E09000007,Camden,Single family household: Cohabiting couple family: No children,White: Roma,70
E09000007,Camden,Single family household: Cohabiting couple family: No children,White: Other White,2429
E09000007,Camden,Single family household: Cohabiting couple family: No children,Other ethnic group: Arab,51
E09000007,Camden,Single family household: Cohabiting couple family: No children,Other ethnic group: Any other ethnic group,268
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",51
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",23
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",17
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",4
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",48
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",132
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,19
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,12
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,21
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,35
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",725
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,White: Irish,53
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,White: Gypsy or Irish Traveller,0
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,White: Roma,16
