Lower tier local authorities Code,Lower tier local authorities,Household composition (37 categories) Code,Household composition (37 categories),Observation
E09000011,Greenwich,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,6
E09000011,Greenwich,16,Single family household: Same-sex civil partnership couple family: No children,135
E09000011,Greenwich,17,Single family household: Same-sex civil partnership couple family: With one dependent child,5
E09000011,Greenwich,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,4
E09000011,Greenwich,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000011,Greenwich,20,Single family household: Opposite-sex cohabiting couple family: No children,7652
E09000011,Greenwich,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2017
E09000011,Greenwich,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2288
E09000011,Greenwich,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,678
E09000011,Greenwich,24,Single family household: Same-sex cohabiting couple family: No children,895
E09000011,Greenwich,25,Single family household: Same-sex cohabiting couple family: With one dependent child,43
E09000011,Greenwich,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,39
E09000011,Greenwich,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,22
E09000011,Greenwich,28,Single family household: Lone parent family: With one dependent child,5149
E09000011,Greenwich,29,Single family household: Lone parent family: With two or more dependent children,5749
E09000011,Greenwich,30,Single family household: Lone parent family: All children non-dependent,6197
E09000011,Greenwich,31,Other household types: Other related household: Other family composition,1742
E09000011,Greenwich,32,Other household types: With one dependent child,2571
E09000011,Greenwich,33,Other household types: With two or more dependent children,2806
E09000011,Greenwich,34,Other household types: All in full-time education,282
E09000011,Greenwich,35,Other household types: All aged 66 years and over,122
E09000011,Greenwich,36,Other household types: Other family composition,6985
E09000012,Hackney,-8,Does not apply,0
E09000012,Hackney,1,One-person household: Aged 66 years and over,7489
E09000012,Hackney,2,One-person household: Other,27439
E09000012,Hackney,3,Single family household: All aged 66 years and over,1785
E09000012,Hackney,4,Single family household: Opposite-sex married couple family: No children,5239
E09000012,Hackney,5,Single family household: Opposite-sex married couple family: With one dependent child,4284
E09000012,Hackney,6,Single family household: Opposite-sex married couple family: With two or more dependent children,7864
E09000012,Hackney,7,Single family household: Opposite-sex married couple family: All children non-dependent,2906
E09000012,Hackney,8,Single family household: Same-sex married couple family: No children,327
E09000012,Hackney,9,Single family household: Same-sex married couple family: With one dependent child,31
E09000012,Hackney,10,Single family household: Same-sex married couple family: With two or more dependent children,17
E09000012,Hackney,11,Single family household: Same-sex married couple family: All children non-dependent,6
E09000012,Hackney,12,Single family household: Opposite-sex civil partnership couple family: No children,85
E09000012,Hackney,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,30
E09000012,Hackney,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,37
E09000012,Hackney,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,6
E09000012,Hackney,16,Single family household: Same-sex civil partnership couple family: No children,203
E09000012,Hackney,17,Single family household: Same-sex civil partnership couple family: With one dependent child,11
E09000012,Hackney,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,13
E09000012,Hackney,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000012,Hackney,20,Single family household: Opposite-sex cohabiting couple family: No children,9070
E09000012,Hackney,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1549
E09000012,Hackney,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1446
E09000012,Hackney,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,415
E09000012,Hackney,24,Single family household: Same-sex cohabiting couple family: No children,1112
E09000012,Hackney,25,Single family household: Same-sex cohabiting couple family: With one dependent child,31
E09000012,Hackney,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,21
E09000012,Hackney,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,26
E09000012,Hackney,28,Single family household: Lone parent family: With one dependent child,5113
E09000012,Hackney,29,Single family household: Lone parent family: With two or more dependent children,4831
E09000012,Hackney,30,Single family household: Lone parent family: All children non-dependent,6456
E09000012,Hackney,31,Other household types: Other related household: Other family composition,2057
E09000012,Hackney,32,Other household types: With one dependent child,1650
E09000012,Hackney,33,Other household types: With two or more dependent children,1869
E09000012,Hackney,34,Other household types: All in full-time education,372
E09000012,Hackney,35,Other household types: All aged 66 years and over,42
E09000012,Hackney,36,Other household types: Other family composition,12248
E09000013,Hammersmith and Fulham,-8,Does not apply,0
E09000013,Hammersmith and Fulham,1,One-person household: Aged 66 years and over,7351
E09000013,Hammersmith and Fulham,2,One-person household: Other,21973
E09000013,Hammersmith and Fulham,3,Single family household: All aged 66 years and over,2033
E09000013,Hammersmith and Fulham,4,Single family household: Opposite-sex married couple family: No children,5497
E09000013,Hammersmith and Fulham,5,Single family household: Opposite-sex married couple family: With one dependent child,3905
E09000013,Hammersmith and Fulham,6,Single family household: Opposite-sex married couple family: With two or more dependent children,5773
E09000013,Hammersmith and Fulham,7,Single family household: Opposite-sex married couple family: All children non-dependent,2394
E09000013,Hammersmith and Fulham,8,Single family household: Same-sex married couple family: No children,233
E09000013,Hammersmith and Fulham,9,Single family household: Same-sex married couple family: With one dependent child,9
E09000013,Hammersmith and Fulham,10,Single family household: Same-sex married couple family: With two or more dependent children,5
E09000013,Hammersmith and Fulham,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000013,Hammersmith and Fulham,12,Single family household: Opposite-sex civil partnership couple family: No children,42
E09000013,Hammersmith and Fulham,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,15
E09000013,Hammersmith and Fulham,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,19
E09000013,Hammersmith and Fulham,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,4
E09000013,Hammersmith and Fulham,16,Single family household: Same-sex civil partnership couple family: No children,150
E09000013,Hammersmith and Fulham,17,Single family household: Same-sex civil partnership couple family: With one dependent child,1
E09000013,Hammersmith and Fulham,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,3
E09000013,Hammersmith and Fulham,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,2
E09000013,Hammersmith and Fulham,20,Single family household: Opposite-sex cohabiting couple family: No children,6553
E09000013,Hammersmith and Fulham,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,757
E09000013,Hammersmith and Fulham,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,632
E09000013,Hammersmith and Fulham,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,301
E09000013,Hammersmith and Fulham,24,Single family household: Same-sex cohabiting couple family: No children,598
E09000013,Hammersmith and Fulham,25,Single family household: Same-sex cohabiting couple family: With one dependent child,9
E09000013,Hammersmith and Fulham,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,8
E09000013,Hammersmith and Fulham,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,11
E09000013,Hammersmith and Fulham,28,Single family household: Lone parent family: With one dependent child,2985
E09000013,Hammersmith and Fulham,29,Single family household: Lone parent family: With two or more dependent children,2369
E09000013,Hammersmith and Fulham,30,Single family household: Lone parent family: All children non-dependent,4329
E09000013,Hammersmith and Fulham,31,Other household types: Other related household: Other family composition,1932
E09000013,Hammersmith and Fulham,32,Other household types: With one dependent child,984
E09000013,Hammersmith and Fulham,33,Other household types: With two or more dependent children,1058
E09000013,Hammersmith and Fulham,34,Other household types: All in full-time education,1072
E09000013,Hammersmith and Fulham,35,Other household types: All aged 66 years and over,72
E09000013,Hammersmith and Fulham,36,Other household types: Other family composition,8167
E09000014,Haringey,-8,Does not apply,0
E09000014,Haringey,1,One-person household: Aged 66 years and over,8958
E09000014,Haringey,2,One-person household: Other,23335
E09000014,Haringey,3,Single family household: All aged 66 years and over,3139
E09000014,Haringey,4,Single family household: Opposite-sex married couple family: No children,6397
E09000014,Haringey,5,Single family household: Opposite-sex married couple family: With one dependent child,5602
E09000014,Haringey,6,Single family household: Opposite-sex married couple family: With two or more dependent children,8593
E09000014,Haringey,7,Single family household: Opposite-sex married couple family: All children non-dependent,4240
E09000014,Haringey,8,Single family household: Same-sex married couple family: No children,217
E09000014,Haringey,9,Single family household: Same-sex married couple family: With one dependent child,31
E09000014,Haringey,10,Single family household: Same-sex married couple family: With two or more dependent children,12
E09000014,Haringey,11,Single family household: Same-sex married couple family: All children non-dependent,5
E09000014,Haringey,12,Single family household: Opposite-sex civil partnership couple family: No children,61
E09000014,Haringey,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,21
E09000014,Haringey,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,56
E09000014,Haringey,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,11
E09000014,Haringey,16,Single family household: Same-sex civil partnership couple family: No children,163
E09000014,Haringey,17,Single family household: Same-sex civil partnership couple family: With one dependent child,12
E09000014,Haringey,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,15
E09000014,Haringey,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,6
E09000014,Haringey,20,Single family household: Opposite-sex cohabiting couple family: No children,7045
E09000014,Haringey,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1819
E09000014,Haringey,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1434
E09000014,Haringey,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,551
E09000014,Haringey,24,Single family household: Same-sex cohabiting couple family: No children,829
E09000014,Haringey,25,Single family household: Same-sex cohabiting couple family: With one dependent child,46
E09000014,Haringey,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,26
E09000014,Haringey,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,21
E09000014,Haringey,28,Single family household: Lone parent family: With one dependent child,4968
E09000014,Haringey,29,Single family household: Lone parent family: With two or more dependent children,4111
E09000014,Haringey,30,Single family household: Lone parent family: All children non-dependent,6776
E09000014,Haringey,31,Other household types: Other related household: Other family composition,2184
E09000014,Haringey,32,Other household types: With one dependent child,2350
E09000014,Haringey,33,Other household types: With two or more dependent children,2186
E09000014,Haringey,34,Other household types: All in full-time education,147
E09000014,Haringey,35,Other household types: All aged 66 years and over,96
E09000014,Haringey,36,Other household types: Other family composition,9627
E09000015,Harrow,-8,Does not apply,0
E09000015,Harrow,1,One-person household: Aged 66 years and over,9050
E09000015,Harrow,2,One-person household: Other,10802
E09000015,Harrow,3,Single family household: All aged 66 years and over,6491
E09000015,Harrow,4,Single family household: Opposite-sex married couple family: No children,7298
E09000015,Harrow,5,Single family household: Opposite-sex married couple family: With one dependent child,7573
E09000015,Harrow,6,Single family household: Opposite-sex married couple family: With two or more dependent children,11554
E09000015,Harrow,7,Single family household: Opposite-sex married couple family: All children non-dependent,8625
E09000015,Harrow,8,Single family household: Same-sex married couple family: No children,59
E09000015,Harrow,9,Single family household: Same-sex married couple family: With one dependent child,5
E09000015,Harrow,10,Single family household: Same-sex married couple family: With two or more dependent children,3
E09000015,Harrow,11,Single family household: Same-sex married couple family: All children non-dependent,2
E09000015,Harrow,12,Single family household: Opposite-sex civil partnership couple family: No children,16
E09000015,Harrow,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,11
E09000015,Harrow,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,15
E09000015,Harrow,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,7
E09000015,Harrow,16,Single family household: Same-sex civil partnership couple family: No children,33
E09000015,Harrow,17,Single family household: Same-sex civil partnership couple family: With one dependent child,1
E09000015,Harrow,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000015,Harrow,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000015,Harrow,20,Single family household: Opposite-sex cohabiting couple family: No children,2341
E09000015,Harrow,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,726
E09000015,Harrow,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,693
E09000015,Harrow,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,389
E09000015,Harrow,24,Single family household: Same-sex cohabiting couple family: No children,156
E09000015,Harrow,25,Single family household: Same-sex cohabiting couple family: With one dependent child,10
E09000015,Harrow,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,18
E09000015,Harrow,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,9
E09000015,Harrow,28,Single family household: Lone parent family: With one dependent child,2535
E09000015,Harrow,29,Single family household: Lone parent family: With two or more dependent children,2348
E09000015,Harrow,30,Single family household: Lone parent family: All children non-dependent,4855
E09000015,Harrow,31,Other household types: Other related household: Other family composition,1254
E09000015,Harrow,32,Other household types: With one dependent child,3080
E09000015,Harrow,33,Other household types: With two or more dependent children,3754
E09000015,Harrow,34,Other household types: All in full-time education,63
E09000015,Harrow,35,Other household types: All aged 66 years and over,160
E09000015,Harrow,36,Other household types: Other family composition,5705
E09000016,Havering,-8,Does not apply,0
E09000016,Havering,1,One-person household: Aged 66 years and over,12838
E09000016,Havering,2,One-person household: Other,13291
E09000016,Havering,3,Single family household: All aged 66 years and over,9063
E09000016,Havering,4,Single family household: Opposite-sex married couple family: No children,8679
E09000016,Havering,5,Single family household: Opposite-sex married couple family: With one dependent child,6574
E09000016,Havering,6,Single family household: Opposite-sex married couple family: With two or more dependent children,10210
E09000016,Havering,7,Single family household: Opposite-sex married couple family: All children non-dependent,8164
E09000016,Havering,8,Single family household: Same-sex married couple family: No children,78
E09000016,Havering,9,Single family household: Same-sex married couple family: With one dependent child,7
E09000016,Havering,10,Single family household: Same-sex married couple family: With two or more dependent children,14
E09000016,Havering,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000016,Havering,12,Single family household: Opposite-sex civil partnership couple family: No children,8
E09000016,Havering,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,7
E09000016,Havering,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,18
E09000016,Havering,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,9
E09000016,Havering,16,Single family household: Same-sex civil partnership couple family: No children,34
E09000016,Havering,17,Single family household: Same-sex civil partnership couple family: With one dependent child,3
E09000016,Havering,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,4
E09000016,Havering,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000016,Havering,20,Single family household: Opposite-sex cohabiting couple family: No children,4298
E09000016,Havering,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2199
E09000016,Havering,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2547
E09000016,Havering,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,992
E09000016,Havering,24,Single family household: Same-sex cohabiting couple family: No children,287
E09000016,Havering,25,Single family household: Same-sex cohabiting couple family: With one dependent child,22
E09000016,Havering,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,23
E09000016,Havering,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,28
E09000016,Havering,28,Single family household: Lone parent family: With one dependent child,3808
E09000016,Havering,29,Single family household: Lone parent family: With two or more dependent children,4013
E09000016,Havering,30,Single family household: Lone parent family: All children non-dependent,5317
E09000016,Havering,31,Other household types: Other related household: Other family composition,802
E09000016,Havering,32,Other household types: With one dependent child,2045
E09000016,Havering,33,Other household types: With two or more dependent children,2223
E09000016,Havering,34,Other household types: All in full-time education,22
E09000016,Havering,35,Other household types: All aged 66 years and over,110
E09000016,Havering,36,Other household types: Other family composition,3536
E09000017,Hillingdon,-8,Does not apply,0
E09000017,Hillingdon,1,One-person household: Aged 66 years and over,11143
E09000017,Hillingdon,2,One-person household: Other,15491
E09000017,Hillingdon,3,Single family household: All aged 66 years and over,6521
E09000017,Hillingdon,4,Single family household: Opposite-sex married couple family: No children,8978
E09000017,Hillingdon,5,Single family household: Opposite-sex married couple family: With one dependent child,8841
E09000017,Hillingdon,6,Single family household: Opposite-sex married couple family: With two or more dependent children,13264
E09000017,Hillingdon,7,Single family household: Opposite-sex married couple family: All children non-dependent,8163
E09000017,Hillingdon,8,Single family household: Same-sex married couple family: No children,100
E09000017,Hillingdon,9,Single family household: Same-sex married couple family: With one dependent child,11
E09000017,Hillingdon,10,Single family household: Same-sex married couple family: With two or more dependent children,9
E09000017,Hillingdon,11,Single family household: Same-sex married couple family: All children non-dependent,3
E09000017,Hillingdon,12,Single family household: Opposite-sex civil partnership couple family: No children,73
E09000017,Hillingdon,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,20
E09000017,Hillingdon,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,15
E09000017,Hillingdon,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,11
E09000017,Hillingdon,16,Single family household: Same-sex civil partnership couple family: No children,42
E09000017,Hillingdon,17,Single family household: Same-sex civil partnership couple family: With one dependent child,6
E09000017,Hillingdon,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,2
E09000017,Hillingdon,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000017,Hillingdon,20,Single family household: Opposite-sex cohabiting couple family: No children,4152
E09000017,Hillingdon,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1597
E09000017,Hillingdon,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1746
E09000017,Hillingdon,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,760
E09000017,Hillingdon,24,Single family household: Same-sex cohabiting couple family: No children,329
E09000017,Hillingdon,25,Single family household: Same-sex cohabiting couple family: With one dependent child,27
E09000017,Hillingdon,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,20
E09000017,Hillingdon,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,19
E09000017,Hillingdon,28,Single family household: Lone parent family: With one dependent child,3831
E09000017,Hillingdon,29,Single family household: Lone parent family: With two or more dependent children,4113
E09000017,Hillingdon,30,Single family household: Lone parent family: All children non-dependent,5919
E09000017,Hillingdon,31,Other household types: Other related household: Other family composition,1327
E09000017,Hillingdon,32,Other household types: With one dependent child,2974
E09000017,Hillingdon,33,Other household types: With two or more dependent children,3690
E09000017,Hillingdon,34,Other household types: All in full-time education,340
E09000017,Hillingdon,35,Other household types: All aged 66 years and over,94
E09000017,Hillingdon,36,Other household types: Other family composition,5596
E09000018,Hounslow,-8,Does not apply,0
E09000018,Hounslow,1,One-person household: Aged 66 years and over,9176
E09000018,Hounslow,2,One-person household: Other,17033
E09000018,Hounslow,3,Single family household: All aged 66 years and over,4381
E09000018,Hounslow,4,Single family household: Opposite-sex married couple family: No children,7547
E09000018,Hounslow,5,Single family household: Opposite-sex married couple family: With one dependent child,7903
E09000018,Hounslow,6,Single family household: Opposite-sex married couple family: With two or more dependent children,11753
E09000018,Hounslow,7,Single family household: Opposite-sex married couple family: All children non-dependent,6759
E09000018,Hounslow,8,Single family household: Same-sex married couple family: No children,158
E09000018,Hounslow,9,Single family household: Same-sex married couple family: With one dependent child,12
E09000018,Hounslow,10,Single family household: Same-sex married couple family: With two or more dependent children,10
E09000018,Hounslow,11,Single family household: Same-sex married couple family: All children non-dependent,2
E09000018,Hounslow,12,Single family household: Opposite-sex civil partnership couple family: No children,32
E09000018,Hounslow,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,14
E09000018,Hounslow,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,22
E09000018,Hounslow,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,6
E09000018,Hounslow,16,Single family household: Same-sex civil partnership couple family: No children,107
E09000018,Hounslow,17,Single family household: Same-sex civil partnership couple family: With one dependent child,26
E09000018,Hounslow,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000018,Hounslow,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000018,Hounslow,20,Single family household: Opposite-sex cohabiting couple family: No children,4195
E09000018,Hounslow,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1460
E09000018,Hounslow,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1503
E09000018,Hounslow,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,532
E09000018,Hounslow,24,Single family household: Same-sex cohabiting couple family: No children,490
E09000018,Hounslow,25,Single family household: Same-sex cohabiting couple family: With one dependent child,29
E09000018,Hounslow,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,21
E09000018,Hounslow,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,12
E09000018,Hounslow,28,Single family household: Lone parent family: With one dependent child,3813
E09000018,Hounslow,29,Single family household: Lone parent family: With two or more dependent children,3785
E09000018,Hounslow,30,Single family household: Lone parent family: All children non-dependent,5749
E09000018,Hounslow,31,Other household types: Other related household: Other family composition,1501
E09000018,Hounslow,32,Other household types: With one dependent child,3479
E09000018,Hounslow,33,Other household types: With two or more dependent children,3908
E09000018,Hounslow,34,Other household types: All in full-time education,184
E09000018,Hounslow,35,Other household types: All aged 66 years and over,93
E09000018,Hounslow,36,Other household types: Other family composition,7261
E09000019,Islington,-8,Does not apply,0
E09000019,Islington,1,One-person household: Aged 66 years and over,7636
E09000019,Islington,2,One-person household: Other,27159
E09000019,Islington,3,Single family household: All aged 66 years and over,2168
E09000019,Islington,4,Single family household: Opposite-sex married couple family: No children,5851
E09000019,Islington,5,Single family household: Opposite-sex married couple family: With one dependent child,3655
E09000019,Islington,6,Single family household: Opposite-sex married couple family: With two or more dependent children,5132
E09000019,Islington,7,Single family household: Opposite-sex married couple family: All children non-dependent,2528
E09000019,Islington,8,Single family household: Same-sex married couple family: No children,453
E09000019,Islington,9,Single family household: Same-sex married couple family: With one dependent child,23
E09000019,Islington,10,Single family household: Same-sex married couple family: With two or more dependent children,20
E09000019,Islington,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000019,Islington,12,Single family household: Opposite-sex civil partnership couple family: No children,115
E09000019,Islington,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,36
E09000019,Islington,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,11
E09000019,Islington,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,2
E09000019,Islington,16,Single family household: Same-sex civil partnership couple family: No children,270
E09000019,Islington,17,Single family household: Same-sex civil partnership couple family: With one dependent child,9
E09000019,Islington,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,11
E09000019,Islington,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000019,Islington,20,Single family household: Opposite-sex cohabiting couple family: No children,9602
E09000019,Islington,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1304
E09000019,Islington,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1089
E09000019,Islington,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,394
E09000019,Islington,24,Single family household: Same-sex cohabiting couple family: No children,1105
E09000019,Islington,25,Single family household: Same-sex cohabiting couple family: With one dependent child,19
E09000019,Islington,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,18
E09000019,Islington,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,14
E09000019,Islington,28,Single family household: Lone parent family: With one dependent child,4015
E09000019,Islington,29,Single family household: Lone parent family: With two or more dependent children,3808
E09000019,Islington,30,Single family household: Lone parent family: All children non-dependent,5248
E09000019,Islington,31,Other household types: Other related household: Other family composition,1835
E09000019,Islington,32,Other household types: With one dependent child,1042
E09000019,Islington,33,Other household types: With two or more dependent children,1024
E09000019,Islington,34,Other household types: All in full-time education,1044
E09000019,Islington,35,Other household types: All aged 66 years and over,82
E09000019,Islington,36,Other household types: Other family composition,9771
E09000020,Kensington and Chelsea,-8,Does not apply,0
E09000020,Kensington and Chelsea,1,One-person household: Aged 66 years and over,7750
E09000020,Kensington and Chelsea,2,One-person household: Other,21483
E09000020,Kensington and Chelsea,3,Single family household: All aged 66 years and over,2390
E09000020,Kensington and Chelsea,4,Single family household: Opposite-sex married couple family: No children,5033
E09000020,Kensington and Chelsea,5,Single family household: Opposite-sex married couple family: With one dependent child,3054
E09000020,Kensington and Chelsea,6,Single family household: Opposite-sex married couple family: With two or more dependent children,4183
E09000020,Kensington and Chelsea,7,Single family household: Opposite-sex married couple family: All children non-dependent,2405
E09000020,Kensington and Chelsea,8,Single family household: Same-sex married couple family: No children,206
E09000020,Kensington and Chelsea,9,Single family household: Same-sex married couple family: With one dependent child,8
E09000020,Kensington and Chelsea,10,Single family household: Same-sex married couple family: With two or more dependent children,5
E09000020,Kensington and Chelsea,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000020,Kensington and Chelsea,12,Single family household: Opposite-sex civil partnership couple family: No children,55
E09000020,Kensington and Chelsea,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,10
E09000020,Kensington and Chelsea,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,16
E09000020,Kensington and Chelsea,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,7
E09000020,Kensington and Chelsea,16,Single family household: Same-sex civil partnership couple family: No children,122
E09000020,Kensington and Chelsea,17,Single family household: Same-sex civil partnership couple family: With one dependent child,0
E09000020,Kensington and Chelsea,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000020,Kensington and Chelsea,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000020,Kensington and Chelsea,20,Single family household: Opposite-sex cohabiting couple family: No children,3828
E09000020,Kensington and Chelsea,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,533
E09000020,Kensington and Chelsea,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,327
E09000020,Kensington and Chelsea,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,182
E09000020,Kensington and Chelsea,24,Single family household: Same-sex cohabiting couple family: No children,426
E09000020,Kensington and Chelsea,25,Single family household: Same-sex cohabiting couple family: With one dependent child,10
E09000020,Kensington and Chelsea,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,8
E09000020,Kensington and Chelsea,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,4
E09000020,Kensington and Chelsea,28,Single family household: Lone parent family: With one dependent child,2021
E09000020,Kensington and Chelsea,29,Single family household: Lone parent family: With two or more dependent children,1386
E09000020,Kensington and Chelsea,30,Single family household: Lone parent family: All children non-dependent,3267
E09000020,Kensington and Chelsea,31,Other household types: Other related household: Other family composition,1388
E09000020,Kensington and Chelsea,32,Other household types: With one dependent child,841
E09000020,Kensington and Chelsea,33,Other household types: With two or more dependent children,1222
E09000020,Kensington and Chelsea,34,Other household types: All in full-time education,797
E09000020,Kensington and Chelsea,35,Other household types: All aged 66 years and over,83
E09000020,Kensington and Chelsea,36,Other household types: Other family composition,3838
E09000021,Kingston upon Thames,-8,Does not apply,0
E09000021,Kingston upon Thames,1,One-person household: Aged 66 years and over,6894
E09000021,Kingston upon Thames,2,One-person household: Other,10822
E09000021,Kingston upon Thames,3,Single family household: All aged 66 years and over,4274
E09000021,Kingston upon Thames,4,Single family household: Opposite-sex married couple family: No children,5734
E09000021,Kingston upon Thames,5,Single family household: Opposite-sex married couple family: With one dependent child,5197
E09000021,Kingston upon Thames,6,Single family household: Opposite-sex married couple family: With two or more dependent children,8376
E09000021,Kingston upon Thames,7,Single family household: Opposite-sex married couple family: All children non-dependent,4106
E09000021,Kingston upon Thames,8,Single family household: Same-sex married couple family: No children,121
E09000021,Kingston upon Thames,9,Single family household: Same-sex married couple family: With one dependent child,9
E09000021,Kingston upon Thames,10,Single family household: Same-sex married couple family: With two or more dependent children,9
E09000021,Kingston upon Thames,11,Single family household: Same-sex married couple family: All children non-dependent,2
E09000021,Kingston upon Thames,12,Single family household: Opposite-sex civil partnership couple family: No children,24
E09000021,Kingston upon Thames,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,17
E09000021,Kingston upon Thames,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,14
