lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,national_statistics_socio-economic_classification_ns-sec_10,observation
E09000006,Bromley,One-person household: Aged 66 years and over,L12: Semi-routine occupations,2288
E09000006,Bromley,One-person household: Aged 66 years and over,L13: Routine occupations,1444
E09000006,Bromley,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,2269
E09000006,Bromley,One-person household: Aged 66 years and over,L15: Full-time students,11
E09000006,Bromley,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4816
E09000006,Bromley,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5500
E09000006,Bromley,One-person household: Other,L7: Intermediate occupations,2505
E09000006,Bromley,One-person household: Other,L8 and L9: Small employers and own account workers,2369
E09000006,Bromley,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,866
E09000006,Bromley,One-person household: Other,L12: Semi-routine occupations,1615
E09000006,Bromley,One-person household: Other,L13: Routine occupations,1460
E09000006,Bromley,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,1778
E09000006,Bromley,One-person household: Other,L15: Full-time students,311
E09000006,Bromley,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2739
E09000006,Bromley,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2729
E09000006,Bromley,Single family household: All aged 66 years and over,L7: Intermediate occupations,1337
E09000006,Bromley,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,1832
E09000006,Bromley,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,549
E09000006,Bromley,Single family household: All aged 66 years and over,L12: Semi-routine occupations,860
E09000006,Bromley,Single family household: All aged 66 years and over,L13: Routine occupations,706
E09000006,Bromley,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,930
E09000006,Bromley,Single family household: All aged 66 years and over,L15: Full-time students,2
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4059
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3679
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L7: Intermediate occupations,1272
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L8 and L9: Small employers and own account workers,1710
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L10 and L11: Lower supervisory and technical occupations,515
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L12: Semi-routine occupations,652
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L13: Routine occupations,568
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L14.1 and L14.2: Never worked and long-term unemployed,231
E09000006,Bromley,Single family household: Married or civil partnership couple: No children,L15: Full-time students,17
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",10377
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7017
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L7: Intermediate occupations,1615
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L8 and L9: Small employers and own account workers,3261
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L10 and L11: Lower supervisory and technical occupations,953
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L12: Semi-routine occupations,690
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L13: Routine occupations,809
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L14.1 and L14.2: Never worked and long-term unemployed,173
E09000006,Bromley,Single family household: Married or civil partnership couple: Dependent children,L15: Full-time students,102
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2115
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2115
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L7: Intermediate occupations,905
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L8 and L9: Small employers and own account workers,1590
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,459
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L12: Semi-routine occupations,576
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L13: Routine occupations,575
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,289
E09000006,Bromley,Single family household: Married or civil partnership couple: All children non-dependent,L15: Full-time students,5
E09000006,Bromley,Single family household: Cohabiting couple family: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2457
E09000006,Bromley,Single family household: Cohabiting couple family: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2660
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L7: Intermediate occupations,863
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L8 and L9: Small employers and own account workers,829
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L10 and L11: Lower supervisory and technical occupations,353
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L12: Semi-routine occupations,374
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L13: Routine occupations,374
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L14.1 and L14.2: Never worked and long-term unemployed,72
E09000006,Bromley,Single family household: Cohabiting couple family: No children,L15: Full-time students,99
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1416
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1506
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L7: Intermediate occupations,473
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L8 and L9: Small employers and own account workers,993
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L10 and L11: Lower supervisory and technical occupations,290
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L12: Semi-routine occupations,294
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L13: Routine occupations,343
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,102
E09000006,Bromley,Single family household: Cohabiting couple family: With dependent children,L15: Full-time students,14
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",144
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",202
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L7: Intermediate occupations,107
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L8 and L9: Small employers and own account workers,212
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,70
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L12: Semi-routine occupations,90
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L13: Routine occupations,92
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,31
E09000006,Bromley,Single family household: Cohabiting couple family: All children non-dependent,L15: Full-time students,2
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1066
E09000006,Bromley,Single family household: Lone parent family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1861
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L7: Intermediate occupations,1527
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L8 and L9: Small employers and own account workers,873
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L10 and L11: Lower supervisory and technical occupations,264
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L12: Semi-routine occupations,1333
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L13: Routine occupations,999
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,1111
E09000006,Bromley,Single family household: Lone parent family: With dependent children,L15: Full-time students,264
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",618
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1292
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L7: Intermediate occupations,1053
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L8 and L9: Small employers and own account workers,634
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,221
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L12: Semi-routine occupations,967
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L13: Routine occupations,622
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,712
E09000006,Bromley,Single family household: Lone parent family: All children non-dependent,L15: Full-time students,29
E09000006,Bromley,Other household types: Other related household: Other family composition,"L1, L2 and L3: Higher managerial, administrative and professional occupations",177
E09000006,Bromley,Other household types: Other related household: Other family composition,"L4, L5 and L6: Lower managerial, administrative and professional occupations",247
E09000006,Bromley,Other household types: Other related household: Other family composition,L7: Intermediate occupations,122
E09000006,Bromley,Other household types: Other related household: Other family composition,L8 and L9: Small employers and own account workers,117
E09000006,Bromley,Other household types: Other related household: Other family composition,L10 and L11: Lower supervisory and technical occupations,72
E09000006,Bromley,Other household types: Other related household: Other family composition,L12: Semi-routine occupations,81
E09000006,Bromley,Other household types: Other related household: Other family composition,L13: Routine occupations,97
E09000006,Bromley,Other household types: Other related household: Other family composition,L14.1 and L14.2: Never worked and long-term unemployed,47
E09000006,Bromley,Other household types: Other related household: Other family composition,L15: Full-time students,22
E09000006,Bromley,Other household types: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",744
E09000006,Bromley,Other household types: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",803
E09000006,Bromley,Other household types: With dependent children,L7: Intermediate occupations,377
E09000006,Bromley,Other household types: With dependent children,L8 and L9: Small employers and own account workers,635
E09000006,Bromley,Other household types: With dependent children,L10 and L11: Lower supervisory and technical occupations,208
E09000006,Bromley,Other household types: With dependent children,L12: Semi-routine occupations,300
E09000006,Bromley,Other household types: With dependent children,L13: Routine occupations,293
E09000006,Bromley,Other household types: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,136
E09000006,Bromley,Other household types: With dependent children,L15: Full-time students,48
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","L1, L2 and L3: Higher managerial, administrative and professional occupations",878
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over","L4, L5 and L6: Lower managerial, administrative and professional occupations",1354
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L7: Intermediate occupations,530
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L8 and L9: Small employers and own account workers,777
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L10 and L11: Lower supervisory and technical occupations,239
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L12: Semi-routine occupations,358
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L13: Routine occupations,356
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L14.1 and L14.2: Never worked and long-term unemployed,167
E09000006,Bromley,"Other household types: Other, including all full-time students and all aged 66 years and over",L15: Full-time students,45
E09000007,Camden,One-person household: Aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1492
E09000007,Camden,One-person household: Aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2293
E09000007,Camden,One-person household: Aged 66 years and over,L7: Intermediate occupations,1053
E09000007,Camden,One-person household: Aged 66 years and over,L8 and L9: Small employers and own account workers,1211
E09000007,Camden,One-person household: Aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,284
E09000007,Camden,One-person household: Aged 66 years and over,L12: Semi-routine occupations,800
E09000007,Camden,One-person household: Aged 66 years and over,L13: Routine occupations,906
E09000007,Camden,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,1654
E09000007,Camden,One-person household: Aged 66 years and over,L15: Full-time students,25
E09000007,Camden,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",7259
E09000007,Camden,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6097
E09000007,Camden,One-person household: Other,L7: Intermediate occupations,1713
E09000007,Camden,One-person household: Other,L8 and L9: Small employers and own account workers,2660
E09000007,Camden,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,694
E09000007,Camden,One-person household: Other,L12: Semi-routine occupations,1642
E09000007,Camden,One-person household: Other,L13: Routine occupations,1456
E09000007,Camden,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,2648
E09000007,Camden,One-person household: Other,L15: Full-time students,2032
E09000007,Camden,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1020
E09000007,Camden,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",701
E09000007,Camden,Single family household: All aged 66 years and over,L7: Intermediate occupations,170
E09000007,Camden,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,515
E09000007,Camden,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,75
E09000007,Camden,Single family household: All aged 66 years and over,L12: Semi-routine occupations,132
E09000007,Camden,Single family household: All aged 66 years and over,L13: Routine occupations,167
E09000007,Camden,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,222
E09000007,Camden,Single family household: All aged 66 years and over,L15: Full-time students,1
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3040
E09000007,Camden,Single family household: Married or civil partnership couple: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1814
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L7: Intermediate occupations,321
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L8 and L9: Small employers and own account workers,730
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L10 and L11: Lower supervisory and technical occupations,159
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L12: Semi-routine occupations,236
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L13: Routine occupations,212
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L14.1 and L14.2: Never worked and long-term unemployed,157
E09000007,Camden,Single family household: Married or civil partnership couple: No children,L15: Full-time students,57
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4801
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2255
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L7: Intermediate occupations,433
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L8 and L9: Small employers and own account workers,1535
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L10 and L11: Lower supervisory and technical occupations,410
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L12: Semi-routine occupations,553
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L13: Routine occupations,637
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L14.1 and L14.2: Never worked and long-term unemployed,389
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,L15: Full-time students,69
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",604
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",541
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L7: Intermediate occupations,163
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L8 and L9: Small employers and own account workers,449
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,179
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L12: Semi-routine occupations,232
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L13: Routine occupations,265
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,264
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,L15: Full-time students,8
E09000007,Camden,Single family household: Cohabiting couple family: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3576
E09000007,Camden,Single family household: Cohabiting couple family: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2383
E09000007,Camden,Single family household: Cohabiting couple family: No children,L7: Intermediate occupations,410
E09000007,Camden,Single family household: Cohabiting couple family: No children,L8 and L9: Small employers and own account workers,524
E09000007,Camden,Single family household: Cohabiting couple family: No children,L10 and L11: Lower supervisory and technical occupations,200
E09000007,Camden,Single family household: Cohabiting couple family: No children,L12: Semi-routine occupations,258
E09000007,Camden,Single family household: Cohabiting couple family: No children,L13: Routine occupations,193
E09000007,Camden,Single family household: Cohabiting couple family: No children,L14.1 and L14.2: Never worked and long-term unemployed,79
E09000007,Camden,Single family household: Cohabiting couple family: No children,L15: Full-time students,274
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",578
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",472
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L7: Intermediate occupations,108
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L8 and L9: Small employers and own account workers,278
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L10 and L11: Lower supervisory and technical occupations,75
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L12: Semi-routine occupations,78
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L13: Routine occupations,102
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,67
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,L15: Full-time students,10
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",45
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",76
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L7: Intermediate occupations,30
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L8 and L9: Small employers and own account workers,55
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,22
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L12: Semi-routine occupations,28
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L13: Routine occupations,37
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,28
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,L15: Full-time students,1
E09000007,Camden,Single family household: Lone parent family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",667
E09000007,Camden,Single family household: Lone parent family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1020
E09000007,Camden,Single family household: Lone parent family: With dependent children,L7: Intermediate occupations,745
E09000007,Camden,Single family household: Lone parent family: With dependent children,L8 and L9: Small employers and own account workers,569
E09000007,Camden,Single family household: Lone parent family: With dependent children,L10 and L11: Lower supervisory and technical occupations,140
E09000007,Camden,Single family household: Lone parent family: With dependent children,L12: Semi-routine occupations,969
E09000007,Camden,Single family household: Lone parent family: With dependent children,L13: Routine occupations,571
E09000007,Camden,Single family household: Lone parent family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,1060
E09000007,Camden,Single family household: Lone parent family: With dependent children,L15: Full-time students,205
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",412
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",750
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L7: Intermediate occupations,523
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L8 and L9: Small employers and own account workers,503
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,134
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L12: Semi-routine occupations,613
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L13: Routine occupations,558
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,1095
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,L15: Full-time students,29
E09000007,Camden,Other household types: Other related household: Other family composition,"L1, L2 and L3: Higher managerial, administrative and professional occupations",422
E09000007,Camden,Other household types: Other related household: Other family composition,"L4, L5 and L6: Lower managerial, administrative and professional occupations",353
E09000007,Camden,Other household types: Other related household: Other family composition,L7: Intermediate occupations,106
E09000007,Camden,Other household types: Other related household: Other family composition,L8 and L9: Small employers and own account workers,130
E09000007,Camden,Other household types: Other related household: Other family composition,L10 and L11: Lower supervisory and technical occupations,68
E09000007,Camden,Other household types: Other related household: Other family composition,L12: Semi-routine occupations,98
E09000007,Camden,Other household types: Other related household: Other family composition,L13: Routine occupations,119
E09000007,Camden,Other household types: Other related household: Other family composition,L14.1 and L14.2: Never worked and long-term unemployed,74
E09000007,Camden,Other household types: Other related household: Other family composition,L15: Full-time students,281
E09000007,Camden,Other household types: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",442
E09000007,Camden,Other household types: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",441
E09000007,Camden,Other household types: With dependent children,L7: Intermediate occupations,209
E09000007,Camden,Other household types: With dependent children,L8 and L9: Small employers and own account workers,347
E09000007,Camden,Other household types: With dependent children,L10 and L11: Lower supervisory and technical occupations,114
E09000007,Camden,Other household types: With dependent children,L12: Semi-routine occupations,251
E09000007,Camden,Other household types: With dependent children,L13: Routine occupations,192
E09000007,Camden,Other household types: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,245
E09000007,Camden,Other household types: With dependent children,L15: Full-time students,29
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over","L1, L2 and L3: Higher managerial, administrative and professional occupations",2324
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over","L4, L5 and L6: Lower managerial, administrative and professional occupations",2265
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L7: Intermediate occupations,507
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L8 and L9: Small employers and own account workers,575
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L10 and L11: Lower supervisory and technical occupations,225
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L12: Semi-routine occupations,383
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L13: Routine occupations,360
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L14.1 and L14.2: Never worked and long-term unemployed,253
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",L15: Full-time students,1946
E09000008,Croydon,One-person household: Aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1300
E09000008,Croydon,One-person household: Aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3072
E09000008,Croydon,One-person household: Aged 66 years and over,L7: Intermediate occupations,2629
E09000008,Croydon,One-person household: Aged 66 years and over,L8 and L9: Small employers and own account workers,1224
E09000008,Croydon,One-person household: Aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,638
E09000008,Croydon,One-person household: Aged 66 years and over,L12: Semi-routine occupations,1790
E09000008,Croydon,One-person household: Aged 66 years and over,L13: Routine occupations,1503
E09000008,Croydon,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,2474
E09000008,Croydon,One-person household: Aged 66 years and over,L15: Full-time students,20
E09000008,Croydon,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",5605
E09000008,Croydon,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7049
E09000008,Croydon,One-person household: Other,L7: Intermediate occupations,3364
E09000008,Croydon,One-person household: Other,L8 and L9: Small employers and own account workers,3047
E09000008,Croydon,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,1183
E09000008,Croydon,One-person household: Other,L12: Semi-routine occupations,2475
E09000008,Croydon,One-person household: Other,L13: Routine occupations,2236
E09000008,Croydon,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,2738
E09000008,Croydon,One-person household: Other,L15: Full-time students,725
E09000008,Croydon,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1670
E09000008,Croydon,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1958
E09000008,Croydon,Single family household: All aged 66 years and over,L7: Intermediate occupations,1034
E09000008,Croydon,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,1175
E09000008,Croydon,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,488
E09000008,Croydon,Single family household: All aged 66 years and over,L12: Semi-routine occupations,634
E09000008,Croydon,Single family household: All aged 66 years and over,L13: Routine occupations,635
E09000008,Croydon,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,877
E09000008,Croydon,Single family household: All aged 66 years and over,L15: Full-time students,0
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3174
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3157
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L7: Intermediate occupations,1318
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L8 and L9: Small employers and own account workers,1616
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L10 and L11: Lower supervisory and technical occupations,578
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L12: Semi-routine occupations,772
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L13: Routine occupations,862
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L14.1 and L14.2: Never worked and long-term unemployed,292
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,L15: Full-time students,55
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",6583
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6076
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L7: Intermediate occupations,1816
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L8 and L9: Small employers and own account workers,3942
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L10 and L11: Lower supervisory and technical occupations,1328
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L12: Semi-routine occupations,1579
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L13: Routine occupations,1761
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,L14.1 and L14.2: Never worked and long-term unemployed,359
