lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,religion_10,observation
E09000007,Camden,One-person household: Other,No religion,10766
E09000007,Camden,One-person household: Other,Christian,8598
E09000007,Camden,One-person household: Other,Buddhist,499
E09000007,Camden,One-person household: Other,Hindu,502
E09000007,Camden,One-person household: Other,Jewish,997
E09000007,Camden,One-person household: Other,Muslim,1937
E09000007,Camden,One-person household: Other,Sikh,65
E09000007,Camden,One-person household: Other,Other religion,404
E09000007,Camden,One-person household: Other,Not answered,2443
E09000007,Camden,Single family household: All aged 66 years and over,No religion,886
E09000007,Camden,Single family household: All aged 66 years and over,Christian,1175
E09000007,Camden,Single family household: All aged 66 years and over,Buddhist,33
E09000007,Camden,Single family household: All aged 66 years and over,Hindu,36
E09000007,Camden,Single family household: All aged 66 years and over,Jewish,528
E09000007,Camden,Single family household: All aged 66 years and over,Muslim,97
E09000007,Camden,Single family household: All aged 66 years and over,Sikh,7
E09000007,Camden,Single family household: All aged 66 years and over,Other religion,23
E09000007,Camden,Single family household: All aged 66 years and over,Not answered,217
E09000007,Camden,Single family household: Married or civil partnership couple: No children,No religion,2723
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Christian,2255
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Buddhist,111
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Hindu,222
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Jewish,456
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Muslim,380
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Sikh,23
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Other religion,54
E09000007,Camden,Single family household: Married or civil partnership couple: No children,Not answered,504
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,No religion,3032
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Christian,3190
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Buddhist,117
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Hindu,360
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Jewish,864
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Muslim,2630
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Sikh,25
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Other religion,66
E09000007,Camden,Single family household: Married or civil partnership couple: Dependent children,Not answered,799
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,No religion,625
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Christian,1031
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,26
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,65
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,158
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,561
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,4
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,17
E09000007,Camden,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,219
E09000007,Camden,Single family household: Cohabiting couple family: No children,No religion,4628
E09000007,Camden,Single family household: Cohabiting couple family: No children,Christian,2048
E09000007,Camden,Single family household: Cohabiting couple family: No children,Buddhist,62
E09000007,Camden,Single family household: Cohabiting couple family: No children,Hindu,83
E09000007,Camden,Single family household: Cohabiting couple family: No children,Jewish,319
E09000007,Camden,Single family household: Cohabiting couple family: No children,Muslim,109
E09000007,Camden,Single family household: Cohabiting couple family: No children,Sikh,16
E09000007,Camden,Single family household: Cohabiting couple family: No children,Other religion,66
E09000007,Camden,Single family household: Cohabiting couple family: No children,Not answered,566
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,No religion,796
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Christian,549
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Buddhist,14
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Hindu,10
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Jewish,56
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Muslim,189
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Sikh,0
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Other religion,12
E09000007,Camden,Single family household: Cohabiting couple family: With dependent children,Not answered,142
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,No religion,103
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Christian,146
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,5
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Hindu,0
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Jewish,7
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Muslim,20
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Sikh,1
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Other religion,6
E09000007,Camden,Single family household: Cohabiting couple family: All children non-dependent,Not answered,32
E09000007,Camden,Single family household: Lone parent family: With dependent children,No religion,1534
E09000007,Camden,Single family household: Lone parent family: With dependent children,Christian,2289
E09000007,Camden,Single family household: Lone parent family: With dependent children,Buddhist,51
E09000007,Camden,Single family household: Lone parent family: With dependent children,Hindu,31
E09000007,Camden,Single family household: Lone parent family: With dependent children,Jewish,138
E09000007,Camden,Single family household: Lone parent family: With dependent children,Muslim,1386
E09000007,Camden,Single family household: Lone parent family: With dependent children,Sikh,3
E09000007,Camden,Single family household: Lone parent family: With dependent children,Other religion,61
E09000007,Camden,Single family household: Lone parent family: With dependent children,Not answered,454
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,No religion,1003
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Christian,2207
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Buddhist,63
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Hindu,42
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Jewish,86
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Muslim,741
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Sikh,3
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Other religion,54
E09000007,Camden,Single family household: Lone parent family: All children non-dependent,Not answered,415
E09000007,Camden,Other household types: Other related household: Other family composition,No religion,602
E09000007,Camden,Other household types: Other related household: Other family composition,Christian,533
E09000007,Camden,Other household types: Other related household: Other family composition,Buddhist,16
E09000007,Camden,Other household types: Other related household: Other family composition,Hindu,44
E09000007,Camden,Other household types: Other related household: Other family composition,Jewish,54
E09000007,Camden,Other household types: Other related household: Other family composition,Muslim,219
E09000007,Camden,Other household types: Other related household: Other family composition,Sikh,6
E09000007,Camden,Other household types: Other related household: Other family composition,Other religion,12
E09000007,Camden,Other household types: Other related household: Other family composition,Not answered,170
E09000007,Camden,Other household types: With dependent children,No religion,424
E09000007,Camden,Other household types: With dependent children,Christian,646
E09000007,Camden,Other household types: With dependent children,Buddhist,18
E09000007,Camden,Other household types: With dependent children,Hindu,50
E09000007,Camden,Other household types: With dependent children,Jewish,89
E09000007,Camden,Other household types: With dependent children,Muslim,868
E09000007,Camden,Other household types: With dependent children,Sikh,6
E09000007,Camden,Other household types: With dependent children,Other religion,17
E09000007,Camden,Other household types: With dependent children,Not answered,155
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,4366
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,2455
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,103
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,185
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,304
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,490
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,34
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,84
E09000007,Camden,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,820
E09000008,Croydon,One-person household: Aged 66 years and over,No religion,2443
E09000008,Croydon,One-person household: Aged 66 years and over,Christian,10357
E09000008,Croydon,One-person household: Aged 66 years and over,Buddhist,78
E09000008,Croydon,One-person household: Aged 66 years and over,Hindu,430
E09000008,Croydon,One-person household: Aged 66 years and over,Jewish,60
E09000008,Croydon,One-person household: Aged 66 years and over,Muslim,327
E09000008,Croydon,One-person household: Aged 66 years and over,Sikh,28
E09000008,Croydon,One-person household: Aged 66 years and over,Other religion,91
E09000008,Croydon,One-person household: Aged 66 years and over,Not answered,838
E09000008,Croydon,One-person household: Other,No religion,9744
E09000008,Croydon,One-person household: Other,Christian,13304
E09000008,Croydon,One-person household: Other,Buddhist,282
E09000008,Croydon,One-person household: Other,Hindu,722
E09000008,Croydon,One-person household: Other,Jewish,65
E09000008,Croydon,One-person household: Other,Muslim,1537
E09000008,Croydon,One-person household: Other,Sikh,72
E09000008,Croydon,One-person household: Other,Other religion,395
E09000008,Croydon,One-person household: Other,Not answered,2318
E09000008,Croydon,Single family household: All aged 66 years and over,No religion,1321
E09000008,Croydon,Single family household: All aged 66 years and over,Christian,5828
E09000008,Croydon,Single family household: All aged 66 years and over,Buddhist,51
E09000008,Croydon,Single family household: All aged 66 years and over,Hindu,460
E09000008,Croydon,Single family household: All aged 66 years and over,Jewish,30
E09000008,Croydon,Single family household: All aged 66 years and over,Muslim,258
E09000008,Croydon,Single family household: All aged 66 years and over,Sikh,33
E09000008,Croydon,Single family household: All aged 66 years and over,Other religion,64
E09000008,Croydon,Single family household: All aged 66 years and over,Not answered,426
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,No religion,3406
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Christian,6014
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Buddhist,97
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Hindu,749
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Jewish,21
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Muslim,725
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Sikh,52
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Other religion,107
E09000008,Croydon,Single family household: Married or civil partnership couple: No children,Not answered,650
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,No religion,5327
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Christian,10375
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Buddhist,154
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Hindu,2575
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Jewish,27
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Muslim,3730
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Sikh,135
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Other religion,151
E09000008,Croydon,Single family household: Married or civil partnership couple: Dependent children,Not answered,1126
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,No religion,1606
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Christian,5110
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,58
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,917
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,15
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,821
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,82
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,110
E09000008,Croydon,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,529
E09000008,Croydon,Single family household: Cohabiting couple family: No children,No religion,4274
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Christian,2862
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Buddhist,36
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Hindu,77
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Jewish,19
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Muslim,165
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Sikh,22
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Other religion,64
E09000008,Croydon,Single family household: Cohabiting couple family: No children,Not answered,511
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,No religion,2374
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Christian,2432
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Buddhist,40
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Hindu,57
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Jewish,5
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Muslim,330
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Sikh,12
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Other religion,35
E09000008,Croydon,Single family household: Cohabiting couple family: With dependent children,Not answered,406
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,No religion,383
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Christian,566
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,4
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Hindu,12
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Jewish,1
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Muslim,37
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Sikh,2
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Other religion,7
E09000008,Croydon,Single family household: Cohabiting couple family: All children non-dependent,Not answered,88
E09000008,Croydon,Single family household: Lone parent family: With dependent children,No religion,4014
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Christian,8402
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Buddhist,58
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Hindu,199
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Jewish,18
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Muslim,1241
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Sikh,23
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Other religion,140
E09000008,Croydon,Single family household: Lone parent family: With dependent children,Not answered,1073
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,No religion,1837
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Christian,5772
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Buddhist,46
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Hindu,305
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Jewish,14
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Muslim,592
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Sikh,39
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Other religion,78
E09000008,Croydon,Single family household: Lone parent family: All children non-dependent,Not answered,692
E09000008,Croydon,Other household types: Other related household: Other family composition,No religion,490
E09000008,Croydon,Other household types: Other related household: Other family composition,Christian,1104
E09000008,Croydon,Other household types: Other related household: Other family composition,Buddhist,40
E09000008,Croydon,Other household types: Other related household: Other family composition,Hindu,104
E09000008,Croydon,Other household types: Other related household: Other family composition,Jewish,0
E09000008,Croydon,Other household types: Other related household: Other family composition,Muslim,188
E09000008,Croydon,Other household types: Other related household: Other family composition,Sikh,5
E09000008,Croydon,Other household types: Other related household: Other family composition,Other religion,28
E09000008,Croydon,Other household types: Other related household: Other family composition,Not answered,188
E09000008,Croydon,Other household types: With dependent children,No religion,1222
E09000008,Croydon,Other household types: With dependent children,Christian,3671
E09000008,Croydon,Other household types: With dependent children,Buddhist,44
E09000008,Croydon,Other household types: With dependent children,Hindu,652
E09000008,Croydon,Other household types: With dependent children,Jewish,3
E09000008,Croydon,Other household types: With dependent children,Muslim,1149
E09000008,Croydon,Other household types: With dependent children,Sikh,42
E09000008,Croydon,Other household types: With dependent children,Other religion,58
E09000008,Croydon,Other household types: With dependent children,Not answered,408
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,2203
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,3839
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,69
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,486
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,16
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,608
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,37
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,89
E09000008,Croydon,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,615
E09000009,Ealing,One-person household: Aged 66 years and over,No religion,1818
E09000009,Ealing,One-person household: Aged 66 years and over,Christian,7065
E09000009,Ealing,One-person household: Aged 66 years and over,Buddhist,96
E09000009,Ealing,One-person household: Aged 66 years and over,Hindu,591
E09000009,Ealing,One-person household: Aged 66 years and over,Jewish,119
E09000009,Ealing,One-person household: Aged 66 years and over,Muslim,777
E09000009,Ealing,One-person household: Aged 66 years and over,Sikh,579
E09000009,Ealing,One-person household: Aged 66 years and over,Other religion,77
E09000009,Ealing,One-person household: Aged 66 years and over,Not answered,712
E09000009,Ealing,One-person household: Other,No religion,7180
E09000009,Ealing,One-person household: Other,Christian,9710
E09000009,Ealing,One-person household: Other,Buddhist,307
E09000009,Ealing,One-person household: Other,Hindu,785
E09000009,Ealing,One-person household: Other,Jewish,82
E09000009,Ealing,One-person household: Other,Muslim,2932
E09000009,Ealing,One-person household: Other,Sikh,664
E09000009,Ealing,One-person household: Other,Other religion,253
E09000009,Ealing,One-person household: Other,Not answered,1914
E09000009,Ealing,Single family household: All aged 66 years and over,No religion,864
E09000009,Ealing,Single family household: All aged 66 years and over,Christian,2923
E09000009,Ealing,Single family household: All aged 66 years and over,Buddhist,51
E09000009,Ealing,Single family household: All aged 66 years and over,Hindu,464
E09000009,Ealing,Single family household: All aged 66 years and over,Jewish,51
E09000009,Ealing,Single family household: All aged 66 years and over,Muslim,347
E09000009,Ealing,Single family household: All aged 66 years and over,Sikh,431
E09000009,Ealing,Single family household: All aged 66 years and over,Other religion,34
E09000009,Ealing,Single family household: All aged 66 years and over,Not answered,258
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,No religion,2600
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Christian,4041
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Buddhist,167
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Hindu,779
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Jewish,41
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Muslim,981
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Sikh,507
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Other religion,111
E09000009,Ealing,Single family household: Married or civil partnership couple: No children,Not answered,546
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,No religion,4233
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Christian,8562
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Buddhist,355
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Hindu,2238
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Jewish,82
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Muslim,5988
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Sikh,1601
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Other religion,111
E09000009,Ealing,Single family household: Married or civil partnership couple: Dependent children,Not answered,1196
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,No religion,992
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Christian,3326
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,111
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,1208
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,25
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,1249
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,1176
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,97
E09000009,Ealing,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,475
E09000009,Ealing,Single family household: Cohabiting couple family: No children,No religion,3422
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Christian,2548
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Buddhist,52
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Hindu,86
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Jewish,27
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Muslim,201
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Sikh,65
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Other religion,57
E09000009,Ealing,Single family household: Cohabiting couple family: No children,Not answered,580
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,No religion,1018
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Christian,1397
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Buddhist,22
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Hindu,72
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Jewish,11
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Muslim,476
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Sikh,82
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Other religion,21
E09000009,Ealing,Single family household: Cohabiting couple family: With dependent children,Not answered,226
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,No religion,158
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Christian,315
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,7
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Hindu,28
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Jewish,4
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Muslim,30
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Sikh,27
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Other religion,8
E09000009,Ealing,Single family household: Cohabiting couple family: All children non-dependent,Not answered,41
E09000009,Ealing,Single family household: Lone parent family: With dependent children,No religion,1772
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Christian,4059
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Buddhist,60
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Hindu,236
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Jewish,13
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Muslim,2514
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Sikh,286
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Other religion,85
E09000009,Ealing,Single family household: Lone parent family: With dependent children,Not answered,535
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,No religion,986
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Christian,3590
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Buddhist,63
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Hindu,545
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Jewish,15
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Muslim,1252
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Sikh,648
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Other religion,70
E09000009,Ealing,Single family household: Lone parent family: All children non-dependent,Not answered,521
E09000009,Ealing,Other household types: Other related household: Other family composition,No religion,444
E09000009,Ealing,Other household types: Other related household: Other family composition,Christian,924
E09000009,Ealing,Other household types: Other related household: Other family composition,Buddhist,30
E09000009,Ealing,Other household types: Other related household: Other family composition,Hindu,124
E09000009,Ealing,Other household types: Other related household: Other family composition,Jewish,3
E09000009,Ealing,Other household types: Other related household: Other family composition,Muslim,460
E09000009,Ealing,Other household types: Other related household: Other family composition,Sikh,104
E09000009,Ealing,Other household types: Other related household: Other family composition,Other religion,22
E09000009,Ealing,Other household types: Other related household: Other family composition,Not answered,180
E09000009,Ealing,Other household types: With dependent children,No religion,650
E09000009,Ealing,Other household types: With dependent children,Christian,3042
E09000009,Ealing,Other household types: With dependent children,Buddhist,106
E09000009,Ealing,Other household types: With dependent children,Hindu,1045
E09000009,Ealing,Other household types: With dependent children,Jewish,12
E09000009,Ealing,Other household types: With dependent children,Muslim,1723
E09000009,Ealing,Other household types: With dependent children,Sikh,1397
E09000009,Ealing,Other household types: With dependent children,Other religion,50
E09000009,Ealing,Other household types: With dependent children,Not answered,391
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,2780
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,4437
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,127
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,707
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,24
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,942
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,721
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,129
E09000009,Ealing,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,974
E09000010,Enfield,One-person household: Aged 66 years and over,No religion,1759
E09000010,Enfield,One-person household: Aged 66 years and over,Christian,8233
E09000010,Enfield,One-person household: Aged 66 years and over,Buddhist,53
E09000010,Enfield,One-person household: Aged 66 years and over,Hindu,318
E09000010,Enfield,One-person household: Aged 66 years and over,Jewish,425
E09000010,Enfield,One-person household: Aged 66 years and over,Muslim,669
E09000010,Enfield,One-person household: Aged 66 years and over,Sikh,15
E09000010,Enfield,One-person household: Aged 66 years and over,Other religion,101
E09000010,Enfield,One-person household: Aged 66 years and over,Not answered,680
E09000010,Enfield,One-person household: Other,No religion,5406
E09000010,Enfield,One-person household: Other,Christian,8722
E09000010,Enfield,One-person household: Other,Buddhist,137
E09000010,Enfield,One-person household: Other,Hindu,396
E09000010,Enfield,One-person household: Other,Jewish,205
E09000010,Enfield,One-person household: Other,Muslim,2061
E09000010,Enfield,One-person household: Other,Sikh,74
E09000010,Enfield,One-person household: Other,Other religion,499
E09000010,Enfield,One-person household: Other,Not answered,1409
E09000010,Enfield,Single family household: All aged 66 years and over,No religion,917
E09000010,Enfield,Single family household: All aged 66 years and over,Christian,4372
E09000010,Enfield,Single family household: All aged 66 years and over,Buddhist,32
E09000010,Enfield,Single family household: All aged 66 years and over,Hindu,287
E09000010,Enfield,Single family household: All aged 66 years and over,Jewish,356
E09000010,Enfield,Single family household: All aged 66 years and over,Muslim,407
E09000010,Enfield,Single family household: All aged 66 years and over,Sikh,25
E09000010,Enfield,Single family household: All aged 66 years and over,Other religion,94
E09000010,Enfield,Single family household: All aged 66 years and over,Not answered,430
E09000010,Enfield,Single family household: Married or civil partnership couple: No children,No religion,1897
E09000010,Enfield,Single family household: Married or civil partnership couple: No children,Christian,3819
E09000010,Enfield,Single family household: Married or civil partnership couple: No children,Buddhist,66
E09000010,Enfield,Single family household: Married or civil partnership couple: No children,Hindu,324
